Organization Name,Address,Tel-no,Category,Keywords
LITTLE SISTERS OF THE POOR OF THE STATE OF PENNSYLVANIA,1028 BENTON AVE  PITTSBURGH United States 152121607 PA,412-307-1100,Assisted Living Facility,
WADHWA'S GYNE & INFERTILITY SERVICES INC,4815 LIBERTY AVE MELLON PAVILION  PITTSBURGH United States 15224 PA,412-681-8171,Obstetrics & Gynecology,Women & Reproductive Care
"LAZOR & BENLOCK PHYSICAL THERAPY AND SPORTS MEDICINE, INC.",110 FORT COUCH RD  PITTSBURGH United States 152411030 PA,412-835-2626,Physical Therapist,
"CELTIC HOSPICE & PALLIATIVE CARE SERVICES, LLC","4 ALLEGHENY CTR 9TH FLOOR, SUITE 950 PITTSBURGH United States 152125255 PA",888-599-7328,"Hospice Care, Community Based",
HEALTH ASSOCIATES OF WESTERN PENNSYLVANIA P C,100 S JACKSON AVE 5TH FLOOR PITTSBURGH United States 152023428 PA,412-415-1138,Family Medicine,
UNIVERSITY OF PITTSBURGH MEDICAL CENTER,300 HALKET ST SUITE 5600 PITTSBURGH United States 152133108 PA,412-641-7850,Special Hospital,
"FORT PITT SURGICAL ASSOCIATES, LLC",9104 BABCOCK BLVD SUITE 3111 PITTSBURGH United States 15237 PA,412-364-5490,Surgery,Surgery
EVERETT & HURITE OPHTHALMIC ASSOCIATION,1835 FORBES AVE  PITTSBURGH United States 152195835 PA,412-288-0885,Ophthalmology,
EFCC ACQUISITION CORP,3424 WILLIAM PENN HWY SUITE 220 PITTSBURGH United States 152355444 PA,412-241-7292,Home Health,
"GENE W. MANZETTI, M.D, P.C.",850 CLAIRTON BLVD SUITE 2300 PITTSBURGH United States 15236 PA,412-469-2700,Specialist,
GRICE CHIROPRACTIC,1305 GRANDVIEW AVE STE 240  PITTSBURGH United States 152111205 PA,412-381-9977,Chiropractor,
DR. MILLA OPENKO,2819 BROWNSVILLE RD  PITTSBURGH United States 152272515 PA,412-885-5590,Dentist,Dental Care
SOUTH HILLS OBSTETRCAL AND,1050 BOWER HILL RD SUITE 206 PITTSBURGH United States 152431800 PA,412-572-6127,Obstetrics & Gynecology,Women & Reproductive Care
"BARAK OPTOMETRY OD, INC.",202 COSTCO DR OPTICAL DEPT. PITTSBURGH United States 152054858 PA,412-490-2202,Optometrist,
PENNSYLVANIA CVS PHARMACY LLC,4801 MCKNIGHT RD STE 3  PITTSBURGH United States 152373423 PA,412-536-1808,Pharmacy,Pharmacy
METRO FAMILY PRACTICE INC.,1789 S BRADDOCK AVE SUITE 410 PITTSBURGH United States 152181842 PA,412-247-2310,Family Medicine,
EYE PHYSICIANS OPTICAL LLC,200 DELAFIELD RD SUITE 2020 PITTSBURGH United States 152153205 PA,412-784-1330,Durable Medical Equipment & Medical Supplies,
EYE PHYSICIANS OPTICAL LLC,532 S AIKEN AVE SUITE 103 PITTSBURGH United States 152321521 PA,412-683-5510,Durable Medical Equipment & Medical Supplies,
THE CHILDRENS INSTITUTE OF PITTSBURGH,6301 NORTHUMBERLAND ST  PITTSBURGH United States 152171360 PA,412-420-2400,Pediatrics,
THE CHILDREN'S INSTITUTE OF PITTSBURGH,6301 NORTHUMBERLAND ST  PITTSBURGH United States 152171360 PA,412-420-2400,General Acute Care Hospital Children,
ADAGIO HEALTH INC.,704 2ND AVE  PITTSBURGH United States 152192012 PA,412-253-8100,"Clinic/Center Family Planning, Non-Surgical",
CCN AMERICA LP,300 PENN CENTER BLVD STE 405 PITTSBURGH United States 152355511 PA,412-349-6337,Pharmacy Community/Retail Pharmacy,Pharmacy
COSTCO WHOLESALE CORPORATION,202 COSTCO DR  PITTSBURGH United States 15205 PA,412-490-2203,Pharmacy Community/Retail Pharmacy,Pharmacy
UPMC MAGEE-WOMENS HOSPITAL,300 HALKET STREET MAGEE WOMENS HOSPITAL OF UPMC PITTSBURGH United States 15213 PA,412-641-1976,General Acute Care Hospital Women,
ALLEGHENY & CHESAPEAKE PHYSICAL THERAPISTS INC,5770 BAUM BLVD STE 100  PITTSBURGH United States 15206 PA,800-332-5740,Physical Therapist,
ALLEGHENY & CHESAPEAKE PHYSICAL THERAPISTS INC,5770 BAUM BLVD STE 100  PITTSBURGH United States 15206 PA,800-332-5740,Speech-Language Pathologist  ,
ALLEGHENY & CHESAPEAKE PHYSICAL THERAPISTS INC,5770 BAUM BLVD STE 100  PITTSBURGH United States 15206 PA,412-661-0400,Occupational Therapist,
"MARIA J. SUNSERI, M.D. L.L.C.",4815 LIBERTY AVE STE M-02 PITTSBURGH United States 152242156 PA,412-781-2023,Psychiatry & Neurology Sleep Medicine,
OMNICARE PHARMACIES OF PA WEST LLC,4700 STEUBENVILLE PIKE  PITTSBURGH United States 152059659 PA,412-919-0240,Pharmacy Long Term Care Pharmacy,Pharmacy
"PRIMARY CARE HEALTH SERVICES, INC",4918 2ND AVE  PITTSBURGH United States 152071623 PA,412-422-9520,Clinic/Center Federally Qualified Health Center (FQHC),
"BERNACKI FAMILY PRACTICE AND WELLNESS CENTER, RPLLC",521 GREENFIELD AVE  PITTSBURGH United States 152071091 PA,412-422-6500,Family Medicine,
"YRAM J. GROFF, M.D., P.C.",4815 LIBERTY AVE SUITE 250 PITTSBURGH United States 152242156 PA,412-683-1717,Orthopaedic Surgery,Surgery
PRIMARY CARE HEALTH SERVICES INC.,1101 N MURTLAND ST  PITTSBURGH United States 152081355 PA,412-361-0909,Clinic/Center Federally Qualified Health Center (FQHC),
CSONKA OPTOMETRIC PC,6013 BABCOCK BLVD  PITTSBURGH United States 152372502 PA,412-364-4090,Optometrist Corneal and Contact Management,
DAVAL ENTERPRISES INC,158 FOREST HILLS PLAZA  PITTSBURGH United States 152215283 PA,412-824-8488,Pharmacy Community/Retail Pharmacy,Pharmacy
FEDERICO DE PASQUALE PC,524 BROOKLINE BLVD  PITTSBURGH United States 152262002 PA,412-561-3180,Pharmacy Community/Retail Pharmacy,Pharmacy
"EYE PHYSICIANS & SURGEONS,LTD",200 ST MARGARET MEDICAL ARTS BLDG. SUITE 2020 200 DELAFIELD RD PITTSBURGH United States 15215 PA,412-784-9060,Ophthalmology,
HEMOPHILIA CENTER OF WESTERN PA,3636 BOULEVARD OF THE ALLIES  PITTSBURGH United States 15213 PA,412-209-7280,Internal Medicine Hematology,
ALLEGHENY MEDICAL PRACTICE NETWORK,5140 LIBERTY AVE  PITTSBURGH United States 152242215 PA,412-682-4567,Internal Medicine,
ALLEGHENY MEDICAL PRACTICE NETWORK,4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,724-449-4531,Internal Medicine,
ALLEGHENY MEDICAL PRACTICE NETWORK,211 N WHITFIELD ST SUITE 590 PITTSBURGH United States 152063039 PA,412-363-6561,Internal Medicine,
ALLEGHENY MEDICAL PRACTICE NETWORK,5750 CENTRE AVE SUITE 380 PITTSBURGH United States 152063721 PA,412-661-6800,Radiology Body Imaging,Radiology
PRIMARY CARE HEALTH SERVICES INC,7227 HAMILTON AVE  PITTSBURGH United States 152081814 PA,412-244-4747,Pharmacy Community/Retail Pharmacy,Pharmacy
WESTERN PA FOOT AND ANKLE CENTER,1789 S BRADDOCK AVE SUITE 365 PITTSBURGH United States 152181842 PA,412-371-9330,Podiatrist Primary Podiatric Medicine,
NORTH HILLS PASSAVANT CARDIOLOGY ASSOCIATES PC,9100 BABCOCK BLVD UPMC PASSAVANT HOSPITAL PITTSBURGH United States 15237 PA,724-228-3400,Internal Medicine Cardiovascular Disease,
ALLEGHENY MEDICAL PRACTICE NETWORK,535 SMITHFIELD ST SUITE 1030 PITTSBURGH United States 152222393 PA,412-281-7394,Obstetrics & Gynecology,Women & Reproductive Care
"RESIDENCE FOR RENAL CARE AT SHADYSIDE, LTD",5511 BAUM BLVD  PITTSBURGH United States 152321203 PA,412-661-1740,Skilled Nursing Facility,
PENNSYLVANIA HEART GROUP LTD,490 EAST NORTH AVENUE SUITE 202 PITTSBURGH United States 15212 PA,412-322-1364,Internal Medicine Cardiovascular Disease,
SOUTH HILLS OPTICAL ASSOCIATES LLC,301 S HILLS VLG  PITTSBURGH United States 152411409 PA,412-854-2222,Optometrist,
HUMAN SERVICES ADMINISTRATION ORGANIZATION,2801 CUSTER AVE FL 1  PITTSBURGH United States 152273929 PA,412-884-4500,Case Management,
BERKSHIRE PENNSYLVANIA INC,2025 WIGHTMAN ST  PITTSBURGH United States 152172017 PA,412-421-8443,Skilled Nursing Facility,
PHYLLIS MONTELLESE LLC,128 N CRAIG ST SUITE 216 PITTSBURGH United States 152132744 PA,412-681-3200,Clinic/Center Medical Specialty,
"DAVID J. BAKER, M.D., P.C.",2020 ARDMORE BLVD SUITE 105 PITTSBURGH United States 152214608 PA,412-271-2400,Ophthalmology,
SOUTH HILLS CARDIOLOGY ASSOCIATES,1050 BOWER HILL RD SUITE 308 PITTSBURGH United States 152431800 PA,412-344-4767,Internal Medicine Cardiovascular Disease,
STANTON NEGLEY DRUG CO,804 N NEGLEY AVE  PITTSBURGH United States 152061504 PA,412-661-3315,Pharmacy,Pharmacy
"NEIL NIREN, MD, PC",9102 BABCOCK BLVD SUITE 206 PITTSBURGH United States 152375819 PA,412-367-0808,Dermatology,
ALLEGHENY CAREGIVERS,10755 FRANKSTOWN RD  PITTSBURGH United States 152353040 PA,412-727-2800,Home Health,
"NORMATEC, INC",600 GRANT ST SUITE 660 PITTSBURGH United States 152192702 PA,800-335-0960,Durable Medical Equipment & Medical Supplies,
"CENTER FOR RENAL CARE AT SHADYSIDE, LTD",5511 BAUM BLVD  PITTSBURGH United States 152321203 PA,412-661-7026,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP ST  PITTSBURGH United States 152132536 PA,412-432-5500,General Acute Care Hospital,
UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP ST  PITTSBURGH United States 152132536 PA,412-432-5500,Rehabilitation Hospital,Mental Health and Rehabilitation
SCHENLEY GARDENS CORF LP,3890 BIGELOW BLVD  PITTSBURGH United States 152131152 PA,412-621-4200,Physical Therapist,
"ANCHORPOINT COUNSELING MINISTRY, INC.",800 MCKNIGHT PARK DRIVE SUITE 802 PITTSBURGH United States 152376504 PA,412-366-1300,Counselor,
SCHENLEY GARDENS CORF LP,3890 BIGELOW BLVD  PITTSBURGH United States 152131152 PA,412-621-4200,Occupational Therapist,
LUXOTTICA RETAIL NORTH AMERICA INC,1720 WASHINGTON RD  PITTSBURGH United States 152411208 PA,412-831-1700,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
LUXOTTICA RETAIL NORTH AMERICA INC,7815 MC KNIGHT RD ROSS TOWNSHIP PITTSBURGH United States 152373523 PA,412-366-7017,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
UPMC BRADDOCK,200 LOTHROP ST QUANTUM #1 3RD FL PITTSBURGH United States 152132536 PA,412-432-5500,Clinic/Center Ambulatory Surgical,
"R G JALBERT, INC.",4716 ELLSWORTH AVE SUITE 211 PITTSBURGH United States 152132851 PA,412-683-8856,Psychologist,
"OBSTETRICS AND GYNECOLOGY SOUTH, LLC",1000 BOWER HILL RD STE 311  PITTSBURGH United States 152431873 PA,412-942-3590,Obstetrics & Gynecology Gynecology,Women & Reproductive Care
HEARBEST,658 WASHINGTON RD  PITTSBURGH United States 152281915 PA,412-341-2221,Audiologist-Hearing Aid Fitter,Eye and Ear Care
SCHENLEY GARDENS CORF LP,3890 BIGELOW BLVD  PITTSBURGH United States 152131152 PA,412-621-4200,Speech-Language Pathologist  ,
LUXOTTICA RETAIL NORTH AMERICA INC,3470 WILL PENN HWY PENN CTR PITTSBURGH United States 152355410 PA,412-825-8280,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
BLOOMFIELD HEALTH MART PHARMACY INC,4727 LIBERTY AVE  PITTSBURGH United States 152242025 PA,412-682-4909,Pharmacy,Pharmacy
"LIFECARE HOSPITALS OF PITTSBURGH, LLC",225 PENN AVENUE  PITTSBURGH United States 15221 PA,412-247-2356,Psychiatric Unit,
"PITTSBURGH CHIROPRACTIC & REHABILITATION CENTER, LLC",470 HOME DR  PITTSBURGH United States 152751204 PA,412-787-7400,Chiropractor Rehabilitation,Mental Health and Rehabilitation
UPMC PASSAVANT,9100 BABCOCK BLVD  PITTSBURGH United States 152375815 PA,412-432-5500,Skilled Nursing Facility,
LIFECARE HOSPITALS OF PITTSBURGH LLC,225 PENN AVENUE  PITTSBURGH United States 15221 PA,412-734-7600,Long Term Care Hospital,
LUXOTTICA RETAIL NORTH AMERICA INC,922 FREEPORT RD WATERWORKS MALL PITTSBURGH United States 152383100 PA,412-782-3930,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
PREFERRED PRIMARY CARE PHYSICIANS,300 FLEET ST SUITE 100 PITTSBURGH United States 152202903 PA,412-920-0040,Specialist,
PREFERRED PRIMARY CARE PHYSICIANS,363 VANADIUM RD SUITE 201 PITTSBURGH United States 152431497 PA,412-279-9900,Internal Medicine Cardiovascular Disease,
PREFERRED PRIMARY CARE PHYSICIANS,1050 BOWER HILL RD SUITE 202 PITTSBURGH United States 152431800 PA,412-572-6122,Specialist,
"BRIAN M ERNSTOFF, MD PC",5500 AYLESBORO AVE  PITTSBURGH United States 152171124 PA,412-521-3937,Physical Medicine & Rehabilitation,Mental Health and Rehabilitation
"NATIONAL VISION, INC.",7498 MCKNIGHT ROAD  PITTSBURGH United States 15237 PA,412-364-3688,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
"PAUL E. ANTALIK M.D., P.C.",7125 SALTSBURG RD  PITTSBURGH United States 152352252 PA,412-795-1170,Otolaryngology,
WESLEY SPECTRUM SERVICES,6117 BROAD ST  PITTSBURGH United States 152063011 PA,412-831-9390,Community/Behavioral Health,
ROUTE 8 CHIROPRACTIC CENTER P C,3961 PERRYSVILLE AVE  PITTSBURGH United States 152141735 PA,412-321-5096,Chiropractor,
"TRIANGLE UROLOGICAL GROUP, PC",1307 FEDERAL ST STE 300 PITTSBURGH United States 152124769 PA,412-281-1757,Urology,
CATHOLIC CHARITIES OF THE DIOCESE OF PITTSBURGH,212 9TH ST  PITTSBURGH United States 152223517 PA,412-456-6999,Community/Behavioral Health,
DEMASI CHIROPRACTIC INCORPORATED,101 EMERSON AVE  PITTSBURGH United States 152153252 PA,412-784-1828,Chiropractor,
SOUTHWESTERN SENIOR CARE LLC,110 FORT COUCH RD STE 2  PITTSBURGH United States 152411030 PA,412-831-1223,Home Health,
BILL WEAVER,4028 BEECHWOOD BLVD  PITTSBURGH United States 152172680 PA,412-422-9004,Pharmacy Community/Retail Pharmacy,Pharmacy
MUNICIPALITY OF PENN HILLS,12245 FRANKSTOWN ROAD  PITTSBURGH United States 152353494 PA,412-798-2041,Ambulance,
TRI-STATE NEROLOSURGICAL ASSOCIATES-UPMC,200 LOTHROP ST STE A-402  PITTSBURGH United States 152132536 PA,412-647-3604,General Acute Care Hospital,
MERCY PRIMARY CARE INC.,1400 LOCUST ST SUITE 5108 PITTSBURGH United States 152195114 PA,412-232-5900,General Acute Care Hospital Critical Access,
THE LASIK VISION INSTITUTE LLC,4771 MCKNIGHT RD  PITTSBURGH United States 152373424 PA,412-630-0680,Optometrist,
"FREEMAN & EGER, LLP",420 E NORTH AVE SUITE 116 PITTSBURGH United States 152124746 PA,412-359-6301,Optometrist Low Vision Rehabilitation,Mental Health and Rehabilitation
UPMC PRESBYTERIAN SHADYSIDE,5230 CENTRE AVE  PITTSBURGH United States 152321304 PA,412-623-6399,Pharmacy Institutional Pharmacy,Pharmacy
UPMC COMMUNITY MEDICINE INC,7175 SALTSBURG RD  PITTSBURGH United States 152352252 PA,412-795-7366,Non-Pharmacy Dispensing Site,Pharmacy
"PREMIER MEDICAL ASSOCIATES, P.C.",310 RODI RD  PITTSBURGH United States 152353318 PA,412-242-0777,Non-Pharmacy Dispensing Site,Pharmacy
"COVENTRY PRIMARY CARE ASSOCIATES, INC.",5750 CENTRE AVE 230 PITTSBURGH United States 152063721 PA,412-450-1010,Non-Pharmacy Dispensing Site,Pharmacy
"CAMPBELL & PHILBIN MEDICAL ASSOCIATES, P.C.",92 BRADFORD AVE  PITTSBURGH United States 152053150 PA,412-922-2111,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,120 LYTTON AVE STE 100A  PITTSBURGH United States 152131481 PA,412-647-4545,Non-Pharmacy Dispensing Site,Pharmacy
UNIVERSITY COMPREHENSIVE MEDICAL ASSOCIATES-UPMC,4747 LIBERTY AVE  PITTSBURGH United States 152242032 PA,412-687-5858,Non-Pharmacy Dispensing Site,Pharmacy
SMG/SANTUCCI - UPMC - SHADYSIDE,580 S AIKEN AVE SHADYSIDE PLACE BLDG SUITE 300 PITTSBURGH United States 152321531 PA,412-687-5040,Non-Pharmacy Dispensing Site,Pharmacy
DEER LAKES MEDICAL ASSOCIATION,1360 OLD FREEPORT RD SUITE 1B PITTSBURGH United States 152384102 PA,412-782-5668,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,120 LYTTON AVE SUITE 300 PITTSBURGH United States 152131481 PA,412-647-6333,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,2920 W LIBERTY AVE  PITTSBURGH United States 152162526 PA,412-572-8890,Non-Pharmacy Dispensing Site,Pharmacy
UNION ORTHOTICS & PROSTHETICS CO,5704 BROWNSVILLE RD  PITTSBURGH United States 152363504 PA,412-943-1950,Prosthetic/Orthotic Supplier,
"PREMIER MEDICAL ASSOCIATES, P.C.",100 FOREST HILLS PLAZA  PITTSBURGH United States 15221 PA,412-825-0500,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,100 DELAFIELD RD STE 313 PITTSBURGH United States 152153247 PA,412-781-0400,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,9102 BABCOCK BLVD SUITE LL4 PITTSBURGH United States 152375819 PA,724-772-2664,Non-Pharmacy Dispensing Site,Pharmacy
SQUIRREL HILL FAMILY PRACTICE - UPMC,5889 FORBES AVE 2ND FL FORBES SHADY COMMONS PITTSBURGH United States 152171660 PA,412-421-6047,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,193 43RD ST  PITTSBURGH United States 152013166 PA,412-621-5227,Non-Pharmacy Dispensing Site,Pharmacy
EAST END MEDICAL ASSOCIATES,211 N WHITFIELD ST 590 PITTSBURGH United States 152063039 PA,412-363-6560,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,339 6TH AVE HEINZ 57 CENTER 5TH FLOOR PITTSBURGH United States 152222517 PA,412-261-1257,Non-Pharmacy Dispensing Site,Pharmacy
FUGE FAMILY PRACTICE,300 PENN CENTER BLVD 702 PITTSBURGH United States 152355511 PA,412-816-2273,Non-Pharmacy Dispensing Site,Pharmacy
"RENAISSANCE FAMILY PRACTICE, INC.",619 MOUNT ROYAL BLVD  PITTSBURGH United States 152231225 PA,412-487-4422,Non-Pharmacy Dispensing Site,Pharmacy
"RENAISSANCE FAMILY PRACTICE, UPMC",111 SHERIDAN ST  PITTSBURGH United States 152092639 PA,412-821-2277,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,3436 WILLIAM PENN HWY SUITE 166 PITTSBURGH United States 152355411 PA,412-823-6222,Non-Pharmacy Dispensing Site,Pharmacy
UPMC COMMUNITY MEDICINE INC,2585 FREEPORT RD SUITE 201 PITTSBURGH United States 152381425 PA,412-826-8840,Non-Pharmacy Dispensing Site,Pharmacy
GREATER PITTSBURGH MEDICAL ASSOCIATES - UPMC - PENN HILLS,7555 SALTSBURG RD  PITTSBURGH United States 152353634 PA,412-793-9099,Non-Pharmacy Dispensing Site,Pharmacy
"RENAISSANCE FAMILY PRACTICE, UPMC",200 DELAFIELD RD 2030 PITTSBURGH United States 152153205 PA,412-784-2101,Non-Pharmacy Dispensing Site,Pharmacy
BOWER HILL PEDIATRICS,363 VANADIUM RD  PITTSBURGH United States 152431497 PA,412-279-6697,Pediatrics Adolescent Medicine,
"LOUIS H. MARTONE, M.D., P.C.",100 DELAFIELD RD SUITE 202 PITTSBURGH United States 152153247 PA,412-782-2302,Dermatology,
S W LEEHAN MD PC,455 E BRUCETON RD SUITE 4 PITTSBURGH United States 152364538 PA,412-653-9515,Family Medicine,
"THE BRADLEY CENTER, INC.",5180 CAMPBELLS RUN RD  PITTSBURGH United States 152059731 PA,412-788-8219,"Residential Treatment Facility, Emotionally Disturbed Children",
EMANUEL W AMURGIS,1201 BROUGHTON RD  PITTSBURGH United States 152363451 PA,412-655-3020,Dentist General Practice,Dental Care
"PITTSBURGH GYNECOLOGIC ONCOLOGY, INC.",4815 LIBERTY AVE SUITE 127 PITTSBURGH United States 152242156 PA,412-687-9944,Clinic/Center Medical Specialty,
"LEVI WALKER, MD,PC",211 N WHITFIELD ST SUITE 710 PITTSBURGH United States 152063039 PA,412-363-5200,Internal Medicine,
"CENTER FOR HEARING AND DEAF SERVICES, INC.",1945 5TH AVE  PITTSBURGH United States 152195547 PA,412-281-1375,Voluntary or Charitable,
THE EARLY LEARNING INSTITUTE,2510 BALDWICK RD  PITTSBURGH United States 152054104 PA,412-922-8322,Specialist,
UPMC COMMUNITY MEDICINE INC,300 HALKET ST SUITE 5710 PITTSBURGH United States 152133108 PA,412-641-7370,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,200 DELAFIELD RD SUITE 1000 PITTSBURGH United States 152153205 PA,412-784-5900,Surgery,Surgery
UPMC COMMUNITY MEDICINE INC,580 S AIKEN AVE SUITE 300 PITTSBURGH United States 152321531 PA,412-687-5040,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,1789 S BRADDOCK AVE SUITE 510 PITTSBURGH United States 152181842 PA,412-244-8760,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,900 MOUNT ROYAL BLVD  PITTSBURGH United States 152231060 PA,412-492-0650,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,120 LYTTON AVE 3RD FLOOR PITTSBURGH United States 152131481 PA,412-647-6333,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,7175 SALTSBURG RD  PITTSBURGH United States 152352252 PA,412-795-7366,Family Medicine,
UPMC COMMUNITY MEDICINE INC,6301 FORBES AVE SUITE 301 PITTSBURGH United States 152171725 PA,412-422-5970,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,3000 BROWNSVILLE RD  PITTSBURGH United States 152272469 PA,412-881-3111,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,100 DELAFIELD RD SUITE 313 PITTSBURGH United States 152153247 PA,412-781-0400,Family Medicine,
UPMC COMMUNITY MEDICINE INC,532 S AIKEN AVE SUITE 311 PITTSBURGH United States 152321521 PA,412-623-6910,Neurological Surgery,Surgery
UPMC COMMUNITY MEDICINE INC,3436 WILLIAM PENN HWY SUITE 166 PENN CENTER BUILDING 2 PITTSBURGH United States 152355411 PA,412-823-6222,Internal Medicine,
"ADDISON BEHAVIORAL CARE, INC.",905 WEST ST FOUTH FLOOR PITTSBURGH United States 152212833 PA,412-731-2353,Community/Behavioral Health,
UPMC COMMUNITY MEDICINE INC,200 LOTHROP ST SUITE 9055 FORBES TOWER PITTSBURGH United States 152132536 PA,412-647-0943,Pediatrics,
UPMC COMMUNITY MEDICINE INC,200 LOTHROP ST SUITE 9055 FORBES TOWER PITTSBURGH United States 152132536 PA,412-647-0943,Family Medicine,
UPMC COMMUNITY MEDICINE INC,200 DELAFIELD RD SUITE 1040 MEDICAL ARTS BLDG PITTSBURGH United States 152153205 PA,412-782-3990,Orthopaedic Surgery,Surgery
UPMC COMMUNITY MEDICINE INC,200 DELAFIELD RD SUITE 2040 PITTSBURGH United States 152153205 PA,412-784-5888,Anesthesiology Critical Care Medicine,
UPMC COMMUNITY MEDICINE,120 LYTTON AVE SUITE 100A PITTSBURGH United States 152131481 PA,412-647-4545,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,3000 BROWNSVILLE RD  PITTSBURGH United States 152272469 PA,412-881-0320,Family Medicine,
UPMC COMMUNITY MEDICINE INC,339 6TH AVE 5TH FLOOR HEINZ 57 CENTER PITTSBURGH United States 152222517 PA,412-268-7121,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,9909 FRANKSTOWN RD  PITTSBURGH United States 152351647 PA,412-731-2870,Family Medicine,
UPMC COMMUNITY MEDICINE INC,580 S AIKEN AVE SUITE 320 SHADYSIDE PLACE PITTSBURGH United States 152321531 PA,412-621-2676,Family Medicine,
DAVID A HORVATH MD PC,110 FORT COUCH RD SUITE 203 PITTSBURGH United States 152411030 PA,412-831-3300,Dermatology,
UPMC COMMUNITY MEDICINE INC,100 DELAFIELD RD SUITE 201 MEDICAL ARTS BLDG PITTSBURGH United States 152153247 PA,412-782-5900,Ophthalmology,
UPMC COMMUNITY MEDICINE INC,7405 IRVINE ST  PITTSBURGH United States 152182423 PA,412-351-3088,Family Medicine,
UPMC COMMUNITY MEDICINE INC,532 S AIKEN AVE SUITE 300 AIKEN MEDICAL BUILDING PITTSBURGH United States 152321521 PA,412-687-6064,Internal Medicine,
TURTLE CREEK VALLEY MH MR INC,70 S 22ND ST  PITTSBURGH United States 152032143 PA,412-381-2100,Community/Behavioral Health,
THE CENTER FOR PAIN TREATMENT,1312 E CARSON ST  PITTSBURGH United States 152031510 PA,412-431-9180,Specialist,
UNIVERSITY OF PITTSBURGH PHYSICIANS,580 S AIKEN AVE SUITE 300 PITTSBURGH United States 152321531 PA,412-687-5040,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,6301 FORBES AVE SUITE 301 PITTSBURGH United States 152171725 PA,412-422-5970,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,120 LYTTON AVE SUITE 300 PITTSBURGH United States 152131481 PA,412-647-6333,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,3436 WILLIAM PENN HWY SUITE 166 PITTSBURGH United States 152355411 PA,412-823-6222,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,120 LYTTON AVE SUITE 100A PITTSBURGH United States 152131481 PA,412-647-4545,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,339 6TH AVE 5TH FLOOR PITTSBURGH United States 152222517 PA,412-261-8762,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,1789 S BRADDOCK AVE SUITE 510 PITTSBURGH United States 152181842 PA,412-244-8760,Internal Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,6301 FORBES AVE SUITE 300 PITTSBURGH United States 152171725 PA,412-421-6285,Internal Medicine,
UPMC COMMUNITY MEDICINE INC,6301 FORBES AVE SUITE 300 PITTSBURGH United States 152171725 PA,412-421-6285,Internal Medicine,
"FRANCIS, COSTA AND WELSH, ASSOCIATES IN DERMATOLOGY, LTD.",4727 FRIENDSHIP AVE SUITE 300 PITTSBURGH United States 152241770 PA,412-683-5211,Specialist,
ROBERT P. BITTEL JR OD PC,5301 GROVE RD SUITE B530 PITTSBURGH United States 152361691 PA,412-884-2020,Optometrist,
WEST PENN OBSTETRICS & GYNECOLOGY MULTISPECIALTY,4815 LIBERTY AVE SUITE330 PITTSBURGH United States 152242156 PA,412-578-5504,Specialist,
PRESSLEY RIDGE,530 MARSHALL AVE  PITTSBURGH United States 152143016 PA,412-321-7995,Community/Behavioral Health,
DEPAUL SCHOOL FOR HEARING AND SPEECH,6202 ALDER ST  PITTSBURGH United States 152065240 PA,412-924-1012,Audiologist,Eye and Ear Care
"WEST PENN ALLEGHENY EYE ASSOCIATES, PC",4815 LIBERTY AVE M25 PITTSBURGH United States 152242156 PA,412-621-7038,Ophthalmology,
